Issue Type,Category,Course Name,Assignee,Assignee Id,Status,Created,Updated
I've got a problem!,My Issue isn't listed here,Les principes fondamentaux de DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/24/2024 17:15,9/25/2024 10:12
I've got a problem!,"The ""Grade me!"" button isn't working",DHIS2 Events Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/24/2024 21:01,10/3/2024 6:01
I've got a problem!,I'm having an issue with my certificate,Introduction to DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/25/2024 0:36,9/25/2024 10:09
I've got a problem!,I'm having an issue in Trainingland,Aggregate Data Analysis Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/25/2024 1:48,9/30/2024 11:48
I've got a problem!,I can't login to Trainingland,Introduction to DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/25/2024 1:57,10/2/2024 6:01
I've got a problem!,"The ""Grade me!"" button isn't working",DHIS2 Events Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Duplicate,9/25/2024 10:04,9/25/2024 16:31
I've got a problem!,I'd like to retake a module/the course,Data Quality Level 2 Academy,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/25/2024 11:56,9/26/2024 9:34
I've got a problem!,I can't login to Trainingland,Data Quality Level 2 Academy,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/25/2024 12:02,10/2/2024 6:01
I've got a problem!,"The ""Grade me!"" button isn't working",DHIS2 Events Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/25/2024 12:06,10/2/2024 9:41
I've got a problem!,My Issue isn't listed here,Aggregate Data Capture and Validation Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/25/2024 13:58,10/1/2024 6:00
I've got a problem!,I need my Trainingland Account to be created,DHIS2 Events Fundamentals,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Duplicate,9/25/2024 14:25,9/25/2024 16:50
I've got a problem!,I need my Trainingland Account to be created,Les principes fondamentaux de DHIS2,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/25/2024 15:22,9/26/2024 17:03
I've got a problem!,I can't login to Trainingland,Aggregate Data Capture and Validation Fundamentals,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/25/2024 15:47,9/26/2024 9:42
I've got a problem!,"The ""Grade me!"" button isn't working",DHIS2 Events Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Duplicate,9/25/2024 20:14,9/26/2024 17:00
I've got a problem!,I'm having an issue with a particular question or module in a course,DHIS2 Events Fundamentals,,,Done,9/25/2024 20:22,9/26/2024 9:48
I've got a problem!,My Issue isn't listed here,Aggregate Data Capture and Validation Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/25/2024 20:35,10/6/2024 6:03
I've got a problem!,I'd like to retake a module/the course,Aggregate Data Analysis Fundamentals,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/26/2024 6:41,10/2/2024 6:01
I've got a problem!,I can't enroll on a course,Introduction to DHIS2,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/26/2024 8:49,10/2/2024 6:01
I've got a problem!,I can't login to Trainingland,Les principes fondamentaux de DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/26/2024 9:28,9/26/2024 9:55
I've got a problem!,"The ""Grade me!"" button isn't working",DHIS2 Events Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Duplicate,9/26/2024 11:39,9/27/2024 17:17
I've got a problem!,I can't remember my DHIS2 Academy Username and/or Password,Introduction to DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/26/2024 13:12,9/27/2024 9:42
I've got a problem!,My Issue isn't listed here,Aggregate Customization Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/26/2024 15:32,9/30/2024 12:48
I've got a problem!,I'd like to retake a module/the course,Introduction to DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/26/2024 20:22,10/3/2024 6:01
I've got a problem!,"The ""Grade me!"" button isn't working",DHIS2 Events Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Duplicate,9/27/2024 8:55,9/27/2024 17:16
I've got a problem!,"The ""Grade me!"" button isn't working",DHIS2 Events Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Duplicate,9/27/2024 11:16,9/27/2024 17:16
I've got a problem!,My Issue isn't listed here,Introduction to DHIS2,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/27/2024 13:09,10/3/2024 6:01
I've got a problem!,I can't login to Trainingland,Aggregate Data Capture and Validation Fundamentals,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/27/2024 17:25,10/6/2024 6:01
I've got a problem!,I can't login to Trainingland,Aggregate Data Capture and Validation Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/29/2024 9:35,10/8/2024 6:00
I've got a problem!,My Issue isn't listed here,Introduction to DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/29/2024 12:36,9/30/2024 9:55
I've got a problem!,"The ""Grade me!"" button isn't working",DHIS2 Events Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/29/2024 18:25,10/2/2024 10:33
I've got a problem!,"I've finished the course, but it isn't reflected in my course grade",Introduction to DHIS2,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/29/2024 20:54,10/8/2024 6:00
I've got a problem!,"I've finished the course, but it isn't reflected in my course grade",Aggregate Data Capture and Validation Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/29/2024 20:55,10/7/2024 20:35
I've got a problem!,I can't login to Trainingland,Data Quality Level 2 Academy,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/29/2024 21:34,9/30/2024 9:58
I've got a problem!,I can't remember my DHIS2 Academy Username and/or Password,Introduction to DHIS2,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Duplicate,9/29/2024 22:18,9/30/2024 12:02
I've got a problem!,"I've finished the course, but it isn't reflected in my course grade",Fundamentos de ConfiguraciÃ³n de Datos Agregados,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/29/2024 23:59,10/8/2024 6:00
